🥧 BRITISH
🍝 ITALIAN
🥖 FRENCH
🥘 SPANISH
🦞 PORTUGUESE
🥗 GREEK
🍢 TURKISH
🥨 GERMAN
🥟 POLISH
🍣 JAPANESE
🍜 CHINESE
🍱 KOREAN
🍛 THAI
🍲 VIETNAMESE
🍛 INDIAN
🥘 PAKISTANI
🥘 BANGLADESHI
🥥 SRI LANKAN
🍢 MALAYSIAN
🍢 FILIPINO
🥥 INDONESIAN
🍜 BURMESE
🥙 LEBANESE
🍢 PERSIAN
🥙 ISRAELI
🍲 MOROCCAN
🍢 EGYPTIAN
🥙 IRAQI
🍛 ETHIOPIAN
🍛 ERITREAN
🥘 NIGERIAN
🍛 GHANAIAN
🍛 SOMALI
🥩 SOUTH AFRICAN
🥘 JAMAICAN
🥘 TRINIDADIAN
🥘 CUBAN
🍔 AMERICAN
🌮 MEXICAN
🥩 BRAZILIAN
🥩 ARGENTINIAN
🥔 PERUVIAN
🥘 RUSSIAN
🍖 GEORGIAN
🥘 AFGHAN
🍛 NEPALESE
🍜 TIBETAN
